domain;ipFrom;ipTo;count
vortex.data.microsoft.com.;8.8.8.8;192.168.0.153;68
t.kite.com.;8.8.8.8;192.168.0.153;7
femetrics.grammarly.io.;8.8.8.8;192.168.0.153;6
vscode-sync.trafficmanager.net.;8.8.8.8;192.168.0.153;6
presence.teams.microsoft.com.;8.8.8.8;192.168.0.153;6
goldengate.grammarly.com.;8.8.8.8;192.168.0.153;6
v10.events.data.microsoft.com.;8.8.8.8;192.168.0.153;6
f-log-win-extension.grammarly.io.;8.8.8.8;192.168.0.153;4
marketplace.visualstudio.com.;8.8.8.8;192.168.0.153;4
media-kut2-1.cdn.whatsapp.net.;8.8.8.8;192.168.0.153;4
dc.services.visualstudio.com.;8.8.8.8;192.168.0.153;4
d27xxe7juh1us6.cloudfront.net.;8.8.8.8;192.168.0.153;4
windows.kite.com.;8.8.8.8;192.168.0.153;4
dns.google.;8.8.8.8;192.168.0.153;3
kv601.prod.do.dsp.mp.microsoft.com.;8.8.8.8;192.168.0.153;2
functional.events.data.microsoft.com.;8.8.8.8;192.168.0.153;2
az764295.vo.msecnd.net.;8.8.8.8;192.168.0.153;2
cl.qualaroo.com.;8.8.8.8;192.168.0.153;2
api.spotify.com.;8.8.8.8;192.168.0.153;2
discord.com.;8.8.8.8;192.168.0.153;2
dntcl.qualaroo.com.;8.8.8.8;192.168.0.153;2
geo.qualaroo.com.;8.8.8.8;192.168.0.153;2
default.exp-tas.com.;8.8.8.8;192.168.0.153;2
365umedumy-my.sharepoint.com.;8.8.8.8;192.168.0.153;2
teams.events.data.microsoft.com.;8.8.8.8;192.168.0.153;2
settings-win.data.microsoft.com.;8.8.8.8;192.168.0.153;2
config.teams.microsoft.com.;8.8.8.8;192.168.0.153;2
api.github.com.;8.8.8.8;192.168.0.153;2
web.whatsapp.com.;8.8.8.8;192.168.0.153;2
displaycatalog.mp.microsoft.com.;8.8.8.8;192.168.0.153;2
fe3cr.delivery.mp.microsoft.com.;8.8.8.8;192.168.0.153;2
gateway.discord.gg.;8.8.8.8;192.168.0.153;2
update-windows.grammarly.com.;8.8.8.8;192.168.0.153;2
rc.kite.com.;8.8.8.8;192.168.0.153;2
mtxr.gallerycdn.vsassets.io.;8.8.8.8;192.168.0.153;2
betadv.gallerycdn.vsassets.io.;8.8.8.8;192.168.0.153;2
savranweb.gallerycdn.vsassets.io.;8.8.8.8;192.168.0.153;2
rlnt.gallerycdn.vsassets.io.;8.8.8.8;192.168.0.153;2
aki77.gallerycdn.vsassets.io.;8.8.8.8;192.168.0.153;2
itmcdev.gallerycdn.vsassets.io.;8.8.8.8;192.168.0.153;2
marinv.gallerycdn.vsassets.io.;8.8.8.8;192.168.0.153;2
alexcvzz.gallerycdn.vsassets.io.;8.8.8.8;192.168.0.153;2
maikmichel.gallerycdn.vsassets.io.;8.8.8.8;192.168.0.153;2
dbizzy.gallerycdn.vsassets.io.;8.8.8.8;192.168.0.153;2
qwtel.gallerycdn.vsassets.io.;8.8.8.8;192.168.0.153;2
cweijan.gallerycdn.vsassets.io.;8.8.8.8;192.168.0.153;2
adamrybak.gallerycdn.vsassets.io.;8.8.8.8;192.168.0.153;2
matei-tm.gallerycdn.vsassets.io.;8.8.8.8;192.168.0.153;2
raw.githubusercontent.com.;8.8.8.8;192.168.0.153;2
qwtel.gallery.vsassets.io.;8.8.8.8;192.168.0.153;2
rohit-chouhan.gallerycdn.vsassets.io.;8.8.8.8;192.168.0.153;2
media.charlesleifer.com.;8.8.8.8;192.168.0.153;2
array608.prod.do.dsp.mp.microsoft.com.;8.8.8.8;192.168.0.153;1
